,movie,year,imdb,metascore,votes,duration (min),directors,genres,income
524,Mechanic: Resurrection,2016,5.7,38,68289,98,Dennis Gansel,"
Action, Adventure, Thriller            ",21.2
525,The Lost City of Z,2016,6.6,78,67536,141,James Gray,"
Biography, Drama, History            ",8.58
526,Jackie,2016,6.7,81,66714,100,Pablo Larraín,"
Biography, Drama, History            ",13.96
527,Trolls,2016,6.5,56,64012,92,"
Mike Mitchell, 
Walt Dohrn","
Animation, Adventure, Comedy            ",153.71
528,Underworld: Blood Wars,2016,5.8,23,63719,91,Anna Foerster,"
Action, Adventure, Fantasy            ",30.35
529,Café Society,2016,6.6,64,63318,96,Woody Allen,"
Comedy, Drama, Romance            ",11.1
530,The Infiltrator,2016,7.0,66,62194,127,Brad Furman,"
Biography, Crime, Drama            ",15.43
531,Bridget Jones's Baby,2016,6.5,59,61125,123,Sharon Maguire,"
Comedy, Drama, Romance            ",24.25
532,Triple 9,2016,6.3,52,60904,115,John Hillcoat,"
Crime, Thriller            ",12.63
533,Zoolander 2,2016,4.7,34,60445,101,Ben Stiller,"
Action, Comedy            ",28.85
534,Office Christmas Party,2016,5.8,42,60060,105,"
Josh Gordon, 
Will Speck","
Comedy            ",54.73
535,The Finest Hours,2016,6.7,58,56497,117,Craig Gillespie,"
Action, Drama, History            ",27.55
536,Paterson,2016,7.4,90,56488,118,Jim Jarmusch,"
Comedy, Drama, Romance            ",2.14
537,Elle,2016,7.1,89,55262,130,Paul Verhoeven,"
Crime, Drama, Thriller            ",0.01
538,Miss Sloane,2016,7.5,64,53875,132,John Madden,"
Drama, Thriller            ",3.44
539,Blood Father,2016,6.4,66,52869,88,Jean-François Richet,"
Action, Crime, Drama            ",0.01
540,Criminal,2016,6.3,36,52461,113,Ariel Vromen,"
Action, Crime, Drama            ",14.27
541,Keeping Up with the Joneses,2016,5.9,34,52310,105,Greg Mottola,"
Action, Comedy            ",14.9
542,Colossal,2016,6.2,70,51599,109,Nacho Vigalondo,"
Comedy, Drama, Fantasy            ",3.02
543,Gold,2016,6.7,49,51085,120,Stephen Gaghan,"
Crime, Drama            ",7.22
544,Storks,2016,6.8,56,50985,87,"
Nicholas Stoller, 
Doug Sweetland","
Animation, Adventure, Comedy            ",72.68
545,Grave,2016,7.0,81,50719,99,Julia Ducournau,"
Drama, Horror            ",0.51
546,Ice Age: Collision Course,2016,5.7,34,49802,94,"
Mike Thurmeier, 
Galen T. Chu","
Animation, Adventure, Comedy            ",64.06
547,Pete's Dragon,2016,6.7,71,49775,102,David Lowery,"
Action, Adventure, Comedy            ",76.23
548,The Fundamentals of Caring,2016,7.3,55,49654,97,Rob Burnett,"
Comedy, Drama            ",0.01
549,Ride Along 2,2016,5.9,32,49272,102,Tim Story,"
Action, Comedy, Crime            ",90.84
550,Everybody Wants Some!!,2016,6.9,83,48169,117,Richard Linklater,"
Comedy            ",3.37
551,Popstar: Never Stop Never Stopping,2016,6.7,68,48036,87,"
Akiva Schaffer, 
Jorma Taccone","
Comedy, Music            ",9.39
552,Ouija: Origin of Evil,2016,6.1,65,47865,99,Mike Flanagan,"
Drama, Horror, Mystery            ",34.9
553,Live by Night,2016,6.4,49,47709,129,Ben Affleck,"
Action, Crime, Drama            ",10.38
554,The Girl with All the Gifts,2016,6.7,67,47529,111,Colm McCarthy,"
Drama, Horror, Sci-Fi            ",0.01
555,The Light Between Oceans,2016,7.2,60,46972,133,Derek Cianfrance,"
Drama, Romance            ",12.55
556,Pride and Prejudice and Zombies,2016,5.8,45,46753,108,Burr Steers,"
Action, Comedy, Fantasy            ",10.91
557,Whiskey Tango Foxtrot,2016,6.6,57,46595,112,"
Glenn Ficarra, 
John Requa","
Biography, Comedy, Drama            ",23.05
558,Free State of Jones,2016,6.9,53,45727,139,Gary Ross,"
Action, Biography, Drama            ",20.76
559,Masterminds,2016,5.8,47,45714,95,Jared Hess,"
Action, Biography, Comedy            ",17.36
560,Florence Foster Jenkins,2016,6.8,71,45489,111,Stephen Frears,"
Biography, Comedy, Drama            ",27.37
561,"I, Daniel Blake",2016,7.9,78,44857,100,"
Ken Loach, 
Laura Obiols","
Drama            ",0.26
562,Forushande,2016,7.8,85,42310,124,Asghar Farhadi,"
Drama, Thriller            ",2.4
563,Keanu,2016,6.3,63,42181,100,Peter Atencio,"
Action, Comedy, Crime            ",20.57
564,The Boss,2016,5.4,40,39635,99,Ben Falcone,"
Comedy            ",63.03
565,The Belko Experiment,2016,6.1,44,38921,89,Greg McLean,"
Horror, Thriller            ",10.16
566,Anthropoid,2016,7.2,59,38677,120,Sean Ellis,"
Biography, History, Thriller            ",2.96
567,Toni Erdmann,2016,7.4,93,38597,162,Maren Ade,"
Comedy, Drama            ",1.48
568,Ben-Hur,2016,5.7,38,38362,123,Timur Bekmambetov,"
Action, Adventure, Drama            ",26.38
569,Imperium,2016,6.5,68,37498,109,Daniel Ragussis,"
Crime, Drama, Thriller            ",0.01
570,Blair Witch,2016,5.0,47,37375,89,Adam Wingard,"
Horror, Mystery, Thriller            ",20.78
571,The Forest,2016,4.8,34,36787,93,Jason Zada,"
Horror, Mystery, Thriller            ",26.58
572,Gok-seong,2016,7.4,81,36577,156,Hong-jin Na,"
Horror, Mystery, Thriller            ",0.01
573,Free Fire,2016,6.4,63,36504,91,Ben Wheatley,"
Action, Comedy, Crime            ",1.8
574,A Hologram for the King,2016,6.1,58,36457,98,Tom Tykwer,"
Comedy, Drama, Romance            ",4.2
575,Morgan,2016,5.8,48,35899,92,Luke Scott,"
Action, Horror, Sci-Fi            ",3.91
576,Meet the Blacks,2016,5.4,26,34822,94,Deon Taylor,"
Comedy, Horror            ",9.09
577,The Do-Over,2016,5.7,22,34226,108,Steven Brill,"
Action, Adventure, Comedy            ",0.01
578,Before I Wake,2016,6.2,68,33535,97,Mike Flanagan,"
Drama, Fantasy, Horror            ",0.01
579,20th Century Women,2016,7.3,83,32888,119,Mike Mills,"
Comedy, Drama            ",5.66
580,American Honey,2016,7.0,79,32350,163,Andrea Arnold,"
Adventure, Drama, Romance            ",0.66
581,Bastille Day,2016,6.3,48,31513,92,James Watkins,"
Action, Crime, Drama            ",0.04
582,Personal Shopper,2016,6.1,77,31383,105,Olivier Assayas,"
Drama, Horror, Mystery            ",1.31
583,Race,2016,7.1,56,31144,134,Stephen Hopkins,"
Biography, Drama, Sport            ",19.1
584,Brimstone,2016,7.1,45,31062,148,Martin Koolhoven,"
Drama, Mystery, Thriller            ",0.01
585,The Choice,2016,6.6,26,30738,111,Ross Katz,"
Drama, Romance            ",18.71
586,Mother's Day,2016,5.7,18,29341,118,Garry Marshall,"
Comedy, Drama, Romance            ",32.46
587,Loving,2016,7.0,79,28382,123,Jeff Nichols,"
Biography, Drama, Romance            ",7.7
588,Koe no katachi,2016,8.2,78,27401,130,Naoko Yamada,"
Animation, Drama, Romance            ",0.01
589,My Big Fat Greek Wedding 2,2016,6.0,37,26170,94,Kirk Jones,"
Comedy, Romance            ",59.57
590,The Void,2016,5.8,62,25718,90,"
Jeremy Gillespie, 
Steven Kostanski","
Horror, Mystery, Sci-Fi            ",0.15
591,La tortue rouge,2016,7.5,86,25575,80,Michael Dudok de Wit,"
Animation, Fantasy            ",0.92
592,Julieta,2016,7.1,73,25040,99,Pedro Almodóvar,"
Drama, Mystery, Romance            ",1.49
593,Before the Flood,2016,8.3,63,23674,96,Fisher Stevens,"
Documentary, News            ",0.01
594,A Street Cat Named Bob,2016,7.4,54,23554,103,Roger Spottiswoode,"
Biography, Comedy, Drama            ",0.04
595,Mr. Church,2016,7.6,37,23147,104,Bruce Beresford,"
Comedy, Drama            ",0.69
596,Risen,2016,6.3,51,23005,107,Kevin Reynolds,"
Action, Adventure, Drama            ",36.87
597,Better Watch Out,2016,6.5,67,22905,89,Chris Peckover,"
Comedy, Crime, Horror            ",0.02
598,Cell,2016,4.3,38,22437,98,Tod Williams,"
Action, Drama, Horror            ",0.01
599,Bleed for This,2016,6.8,62,22267,117,Ben Younger,"
Biography, Drama, Sport            ",4.85
600,Friend Request,2016,5.3,31,21999,92,Simon Verhoeven,"
Horror, Thriller            ",3.76
601,The Bad Batch,2016,5.3,62,21440,118,Ana Lily Amirpour,"
Drama, Horror, Romance            ",0.18
602,Love & Friendship,2016,6.4,87,21362,90,Whit Stillman,"
Comedy, Drama, Romance            ",14.01
603,Bad Santa 2,2016,5.6,38,20312,92,Mark Waters,"
Comedy, Crime, Drama            ",17.78
604,13th,2016,8.2,88,20084,100,Ava DuVernay,"
Documentary, Crime, News            ",0.01
605,The Whole Truth,2016,6.2,46,20054,93,Courtney Hunt,"
Crime, Drama, Mystery            ",0.01
606,Get a Job,2016,5.3,31,19361,83,Dylan Kidd,"
Comedy            ",0.01
607,Billy Lynn's Long Halftime Walk,2016,6.2,53,19295,113,Ang Lee,"
Action, Drama, Thriller            ",1.72
608,Under the Shadow,2016,6.9,84,19119,84,Babak Anvari,"
Drama, Horror, Thriller            ",0.03
609,Shin Gojira,2016,6.7,67,18842,120,"
Hideaki Anno, 
Shinji Higuchi","
Action, Adventure, Drama            ",1.91
610,Ae Dil Hai Mushkil,2016,5.8,40,18708,158,Karan Johar,"
Drama, Music, Musical            ",4.24
611,Nine Lives,2016,5.3,11,18707,87,Barry Sonnenfeld,"
Comedy, Drama, Family            ",19.64
612,The Birth of a Nation,2016,6.4,69,18603,120,Nate Parker,"
Biography, Drama, History            ",15.86
613,Kingsglaive: Final Fantasy XV,2016,6.8,35,18580,110,Takeshi Nozue,"
Animation, Action, Adventure            ",0.23
614,Juste la fin du monde,2016,6.9,48,18281,97,Xavier Dolan,"
Drama            ",0.01
615,Our Kind of Traitor,2016,6.2,57,18060,108,Susanna White,"
Crime, Drama, Thriller            ",3.15
616,Miracles from Heaven,2016,7.1,44,18057,109,Patricia Riggen,"
Biography, Drama, Family            ",61.69
617,Amanda Knox,2016,6.9,78,17599,92,"
Rod Blackhurst, 
Brian McGinn","
Documentary, Crime            ",0.01
618,True Memoirs of an International Assassin,2016,5.9,37,17514,98,Jeff Wadlow,"
Action, Comedy, Crime            ",0.01
619,Fifty Shades of Black,2016,3.5,28,17489,92,Michael Tiddes,"
Comedy            ",11.68
620,Ma vie de Courgette,2016,7.8,85,17427,66,Claude Barras,"
Animation, Comedy, Drama            ",0.29
621,Jue di tao wang,2016,5.7,50,17268,107,Renny Harlin,"
Action, Adventure, Comedy            ",0.01
622,Max Steel,2016,4.6,22,17014,92,Stewart Hendler,"
Action, Adventure, Family            ",3.82
623,Marauders,2016,5.5,42,16997,107,Steven C. Miller,"
Action, Crime, Thriller            ",0.01
624,Ballerina,2016,6.8,48,16965,89,"
Eric Summer, 
Éric Warin, 
Mimi Maynard, 
Paulette Victor-Lifton","
Animation, Adventure, Comedy            ",24.48
625,Special Correspondents,2016,5.8,36,16938,101,Ricky Gervais,"
Comedy            ",0.01
626,Denial,2016,6.7,63,16823,109,Mick Jackson,"
Biography, Drama            ",4.07
627,The Trust,2016,5.4,58,16206,92,"
Alex Brewer, 
Benjamin Brewer","
Crime, Drama, Thriller            ",0.01
628,"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,6.1,47,16028,96,Woo-Ping Yuen,"
Action, Adventure, Drama            ",0.01
629,David Brent: Life on the Road,2016,6.3,54,16011,96,Ricky Gervais,"
Comedy, Music            ",0.01
630,The Other Side of the Door,2016,5.3,41,15984,96,Johannes Roberts,"
Horror            ",2.99
631,Genius,2016,6.5,56,15865,104,Michael Grandage,"
Biography, Drama            ",1.36
632,Lady Macbeth,2016,6.8,76,15581,89,William Oldroyd,"
Drama, Romance            ",1.13
633,Don't Think Twice,2016,6.7,83,15480,92,Mike Birbiglia,"
Comedy, Drama            ",4.42
634,War on Everyone,2016,5.8,50,15444,98,John Michael McDonagh,"
Action, Comedy            ",0.01
635,Aquarius,2016,7.5,88,15431,146,Kleber Mendonça Filho,"
Drama            ",0.29
636,31,2016,5.1,35,15385,102,Rob Zombie,"
Horror, Thriller            ",0.78
637,Their Finest,2016,6.8,76,15327,117,Lone Scherfig,"
Comedy, Drama, Romance            ",3.6
638,Tallulah,2016,6.7,63,15307,111,Sian Heder,"
Comedy, Drama, Romance            ",0.01
639,The Limehouse Golem,2016,6.3,63,14958,109,Juan Carlos Medina,"
Crime, Mystery, Thriller            ",0.01
640,I Am Not Your Negro,2016,7.8,95,14213,93,Raoul Peck,"
Documentary            ",7.12
641,Pelé: Birth of a Legend,2016,7.2,39,14192,107,"
Jeff Zimbalist, 
Michael Zimbalist","
Biography, Drama, Sport            ",0.03
642,The Good Neighbor,2016,6.3,32,14167,98,Kasra Farahani,"
Crime, Drama, Horror            ",0.01
643,Pet,2016,5.7,48,14132,94,Carles Torrens,"
Horror, Thriller            ",0.01
644,Tickled,2016,7.6,76,14085,92,"
David Farrier, 
Dylan Reeve","
Documentary, Mystery            ",0.61
645,True Crimes,2016,5.1,24,13817,92,Alexandros Avranas,"
Crime, Drama, Thriller            ",0.01
646,Monster Trucks,2016,5.7,41,13770,104,Chris Wedge,"
Action, Adventure, Comedy            ",33.37
647,The Monster,2016,5.4,69,13742,91,Bryan Bertino,"
Drama, Fantasy, Horror            ",0.01
648,Misconduct,2016,5.3,24,13699,106,Shintaro Shimosawa,"
Crime, Drama, Mystery            ",0.01
649,I.T.,2016,5.4,27,13568,95,John Moore,"
Crime, Drama, Mystery            ",0.01
650,In a Valley of Violence,2016,6.0,64,13507,104,Ti West,"
Action, Crime, Drama            ",0.05
651,Collide,2016,5.7,33,13440,99,Eran Creevy,"
Action, Crime, Thriller            ",2.28
652,Wakefield,2016,6.3,62,13428,106,Robin Swicord,"
Drama            ",0.26
653,Mine,2016,5.9,40,13424,106,"
Fabio Guaglione, 
Fabio Resinaro","
Drama, Fantasy, Thriller            ",0.01
654,Barbershop: The Next Cut,2016,5.9,67,13411,111,Malcolm D. Lee,"
Comedy, Drama            ",54.03
655,Queen of Katwe,2016,7.4,73,13269,124,Mira Nair,"
Biography, Drama, Sport            ",8.81
656,Brain on Fire,2016,6.6,34,13260,88,Gerard Barrett,"
Biography, Drama            ",0.01
657,American Pastoral,2016,6.1,43,13202,108,Ewan McGregor,"
Crime, Drama            ",0.54
658,Hands of Stone,2016,6.6,54,13038,111,Jonathan Jakubowicz,"
Action, Biography, Drama            ",4.71
659,The Darkness,2016,4.4,27,12556,92,Greg McLean,"
Horror, Thriller            ",10.73
660,A United Kingdom,2016,6.8,65,12387,111,Amma Asante,"
Biography, Drama, Romance            ",3.9
661,The 9th Life of Louis Drax,2016,6.3,41,12320,108,Alexandre Aja,"
Mystery, Thriller            ",0.01
662,Exposed,2016,4.3,23,12292,102,Gee Malik Linton,"
Crime, Drama, Mystery            ",0.01
663,I Am Not a Serial Killer,2016,6.2,54,12289,104,Billy O'Brien,"
Drama, Horror, Thriller            ",0.01
664,Elvis & Nixon,2016,6.4,59,12095,86,Liza Johnson,"
Comedy, History            ",1.03
665,Fallen,2016,5.4,47,11940,91,Scott Hicks,"
Adventure, Drama, Fantasy            ",0.01
666,Maudie,2016,7.6,65,11896,115,Aisling Walsh,"
Biography, Drama, Romance            ",6.17
667,Christine,2016,6.9,72,11505,119,Antonio Campos,"
Biography, Drama            ",0.3
668,A Dark Song,2016,6.1,71,11493,100,Liam Gavin,"
Drama, Fantasy, Horror            ",0.01
669,Shut In,2016,4.7,25,11239,91,Farren Blackburn,"
Drama, Mystery, Thriller            ",6.88
670,Kedi,2016,7.7,78,11145,79,Ceyda Torun,"
Documentary            ",2.83
671,Absolutely Fabulous: The Movie,2016,5.4,59,11079,91,Mandie Fletcher,"
Comedy, Crime            ",4.75
672,Don't Knock Twice,2016,5.1,45,11009,93,Caradog W. James,"
Horror            ",0.01
673,Lo and Behold: Reveries of the Connected World,2016,7.0,76,10825,98,Werner Herzog,"
Documentary            ",0.59
674,Frantz,2016,7.5,73,10793,113,François Ozon,"
Drama, History, Romance            ",0.88
675,Headshot,2016,6.3,61,10790,118,"
Kimo Stamboel, 
Timo Tjahjanto","
Action, Drama, Thriller            ",0.01
676,Blue Jay,2016,7.3,69,10706,80,Alex Lehmann,"
Drama, Romance            ",0.01
677,Indignation,2016,6.8,78,10683,110,James Schamus,"
Drama, Romance            ",3.4
678,Yoga Hosers,2016,4.3,23,10661,88,Kevin Smith,"
Action, Comedy, Fantasy            ",0.01
679,Bacalaureat,2016,7.4,84,10535,128,Cristian Mungiu,"
Crime, Drama            ",0.18
680,Certain Women,2016,6.3,82,10471,107,Kelly Reichardt,"
Drama            ",1.03
681,God's Not Dead 2,2016,4.4,22,10451,120,Harold Cronk,"
Drama            ",20.77
682,Manhattan Nocturne,2016,6.2,44,10359,113,Brian DeCubellis,"
Crime, Drama, Mystery            ",0.01
683,Incarnate,2016,5.3,30,10313,91,Brad Peyton,"
Horror, Thriller            ",4.79
684,The Hollars,2016,6.5,53,10251,88,John Krasinski,"
Comedy, Drama, Romance            ",1.02
685,L'avenir,2016,7.0,88,10143,102,Mia Hansen-Løve,"
Drama            ",0.28
686,I Am the Pretty Thing That Lives in the House,2016,4.5,68,10025,89,Oz Perkins,"
Horror, Mystery, Thriller            ",0.01
687,The Beatles: Eight Days a Week - The Touring Years,2016,7.8,72,9843,106,Ron Howard,"
Documentary, Music            ",2.93
688,Message from the King,2016,6.4,40,9756,102,Fabrice du Welz,"
Thriller            ",0.01
689,The Eyes of My Mother,2016,6.2,63,9703,76,Nicolas Pesce,"
Drama, Horror            ",0.03
690,The Love Witch,2016,6.2,82,9622,120,Anna Biller,"
Romance, Thriller            ",0.23
691,USS Indianapolis: Men of Courage,2016,5.2,30,9610,128,Mario Van Peebles,"
Action, Drama, History            ",0.01
692,Mohenjo Daro,2016,5.8,39,9602,155,Ashutosh Gowariker,"
Action, Adventure, Drama            ",1.25
693,Kickboxer: Vengeance,2016,4.9,37,9543,90,John Stockwell,"
Action, Crime, Drama            ",0.01
694,Mindhorn,2016,6.3,70,9320,89,Sean Foley,"
Comedy            ",0.01
695,Ratchet & Clank,2016,5.6,29,9121,94,"
Kevin Munroe, 
Jericca Cleland","
Animation, Action, Adventure            ",8.55
696,Weiner,2016,7.6,84,9106,96,"
Josh Kriegman, 
Elyse Steinberg","
Documentary            ",1.61
697,Holidays,2016,5.1,50,8844,105,"
Anthony Scott Burns, 
Kevin Kölsch, 
Nicholas McCarthy, 
Adam Egypt Mortimer, 
Gary Shore, 
Kevin Smith, 
Sarah Adina Smith, 
Scott Stewart, 
Dennis Widmyer","
Fantasy, Horror, Mystery            ",0.01
698,Supersonic,2016,7.9,71,8780,122,Mat Whitecross,"
Documentary, Biography, Music            ",0.24
699,The Duel,2016,5.8,42,8623,110,Kieran Darcy-Smith,"
Drama, Western            ",0.01
700,The Exception,2016,6.8,60,8613,107,David Leveaux,"
Drama, Romance, War            ",0.61
701,A Family Man,2016,6.5,21,8594,108,Mark Williams,"
Drama            ",0.01
702,All I See Is You,2016,5.4,43,8539,109,Marc Forster,"
Drama, Mystery, Romance            ",0.22
703,Wiener-Dog,2016,5.9,66,8512,88,Todd Solondz,"
Comedy, Drama            ",0.45
704,Hounds of Love,2016,6.5,73,8494,108,Ben Young,"
Crime, Drama, Horror            ",0.01
705,The Disappointments Room,2016,3.9,31,8291,85,D.J. Caruso,"
Drama, Horror, Thriller            ",2.41
706,Kevin Hart: What Now?,2016,5.9,60,8226,96,"
Leslie Small, 
Tim Story","
Documentary, Comedy            ",23.56
707,Handsome Devil,2016,7.1,60,8201,95,John Butler,"
Comedy, Drama, Sport            ",0.01
708,Neruda,2016,6.9,82,8177,107,Pablo Larraín,"
Biography, Crime, Drama            ",0.94
709,Les innocentes,2016,7.3,78,8109,115,Anne Fontaine,"
Drama, History            ",1.06
710,Cabin Fever,2016,3.7,14,8047,99,Travis Zariwny,"
Horror            ",0.01
711,Norm of the North,2016,3.5,21,8032,90,Trevor Wall,"
Animation, Adventure, Comedy            ",17.02
712,Una,2016,6.2,62,8030,94,Benedict Andrews,"
Drama, Romance            ",0.01
713,Zero Days,2016,7.8,77,7999,116,Alex Gibney,"
Documentary            ",0.1
714,Rules Don't Apply,2016,5.7,60,7994,127,Warren Beatty,"
Comedy, Drama, Romance            ",3.65
715,Below Her Mouth,2016,5.5,42,7911,94,April Mullen,"
Drama, Romance            ",0.01
716,Other People,2016,6.7,67,7847,97,Chris Kelly,"
Comedy, Drama            ",0.09
717,White Girl,2016,5.7,65,7840,88,Elizabeth Wood,"
Crime, Drama            ",0.2
718,Approaching the Unknown,2016,4.8,53,7773,90,Mark Elijah Rosenberg,"
Drama, Sci-Fi, Thriller            ",0.01
719,Precious Cargo,2016,4.6,27,7547,90,Max Adams,"
Action, Comedy, Crime            ",0.01
720,High Strung,2016,6.4,48,7528,96,Michael Damian,"
Drama, Music, Romance            ",0.05
721,Umi yori mo mada fukaku,2016,7.4,84,7458,118,Hirokazu Koreeda,"
Comedy, Drama            ",0.27
722,Mei ren yu,2016,6.2,69,7458,94,Stephen Chow,"
Comedy, Drama, Fantasy            ",3.23
723,Southside with You,2016,6.3,74,7326,84,Richard Tanne,"
Biography, Drama, History            ",6.3
724,La pazza gioia,2016,7.2,74,7307,116,Paolo Virzì,"
Comedy, Drama            ",0.11
725,Sleight,2016,5.9,62,7194,89,J.D. Dillard,"
Action, Drama, Sci-Fi            ",3.85
726,King Cobra,2016,5.6,48,7113,91,Justin Kelly,"
Comedy, Crime, Drama            ",0.03
727,The Late Bloomer,2016,5.2,34,7105,90,Kevin Pollak,"
Comedy, Drama, Romance            ",0.01
728,Divines,2016,7.4,71,7078,105,Houda Benyamina,"
Crime, Drama            ",0.01
729,Pandemic,2016,4.4,47,7006,91,John Suits,"
Action, Horror, Sci-Fi            ",0.01
730,Boo! A Madea Halloween,2016,4.6,30,6974,103,Tyler Perry,"
Comedy, Drama, Horror            ",73.16
731,Come and Find Me,2016,5.7,46,6958,112,Zack Whedon,"
Thriller            ",0.01
732,Goat,2016,5.7,64,6881,96,Andrew Neel,"
Drama            ",0.02
733,Standoff,2016,6.1,36,6788,80,Adam Alleca,"
Drama, Thriller            ",0.01
734,Dog Eat Dog,2016,4.7,53,6779,93,Paul Schrader,"
Action, Thriller            ",0.01
735,Dad's Army,2016,5.2,38,6746,100,Oliver Parker,"
Comedy, War            ",0.01
736,Trespass Against Us,2016,5.8,50,6720,99,Adam Smith,"
Action, Crime, Drama            ",0.01
737,Mil-jeong,2016,7.1,78,6679,140,Jee-woon Kim,"
Action, Drama, Thriller            ",0.54
738,Tower,2016,8.0,92,6633,82,Keith Maitland,"
Documentary, Animation, Crime            ",0.09
739,Bonjour Anne,2016,5.8,48,6609,92,Eleanor Coppola,"
Comedy, Drama, Romance            ",5.62
740,Alone in Berlin,2016,6.5,52,6582,103,Vincent Perez,"
Drama, History, War            ",0.01
741,Middle School: The Worst Years of My Life,2016,6.1,51,6565,92,Steve Carr,"
Comedy, Family            ",19.99
742,This Beautiful Fantastic,2016,6.9,51,6485,100,Simon Aboud,"
Comedy, Drama, Fantasy            ",0.04
743,Science Fiction Volume One: The Osiris Child,2016,5.6,55,6456,95,Shane Abbess,"
Action, Adventure, Drama            ",0.01
744,Pee-wee's Big Holiday,2016,6.1,63,6454,90,John Lee,"
Adventure, Comedy, Family            ",0.01
745,Killing Ground,2016,5.8,59,6422,88,Damien Power,"
Horror, Thriller            ",0.01
746,Kono sekai no katasumi ni,2016,7.8,73,6381,129,Sunao Katabuchi,"
Animation, Drama, History            ",0.01
747,Hillary's America: The Secret History of the Democratic Party,2016,5.3,2,6306,106,"
Dinesh D'Souza, 
Bruce Schooley","
Documentary, Biography, History            ",13.1
748,Birth of the Dragon,2016,5.4,35,6198,95,George Nolfi,"
Action, Biography, Drama            ",6.9
749,La fille inconnue,2016,6.5,65,6196,113,"
Jean-Pierre Dardenne, 
Luc Dardenne","
Crime, Drama, Mystery            ",0.15
750,Mascots,2016,5.7,57,6170,89,Christopher Guest,"
Comedy            ",0.01
751,Little Men,2016,6.7,86,6165,85,Ira Sachs,"
Drama            ",0.7
752,Operation Avalanche,2016,6.0,69,6050,94,Matt Johnson,"
Drama, Mystery, Thriller            ",0.06
753,Term Life,2016,5.5,23,6026,93,Peter Billingsley,"
Crime, Drama, Thriller            ",0.01
754,The Comedian,2016,5.7,40,6001,120,Taylor Hackford,"
Comedy, Drama            ",1.66
755,A Kind of Murder,2016,5.3,50,5986,95,Andy Goddard,"
Crime, Drama, Thriller            ",0.01
756,Un homme à la hauteur,2016,6.3,48,5970,98,Laurent Tirard,"
Comedy, Romance            ",0.01
757,Buster's Mal Heart,2016,6.1,63,5920,96,Sarah Adina Smith,"
Drama, Mystery, Thriller            ",0.07
758,The Assignment,2016,4.6,34,5857,95,Walter Hill,"
Action, Crime, Thriller            ",0.01
759,Army of One,2016,5.1,43,5848,92,Larry Charles,"
Adventure, Biography, Comedy            ",0.01
760,Into the Inferno,2016,7.2,76,5760,104,Werner Herzog,"
Documentary            ",0.01
761,Kongens nei,2016,7.2,64,5747,133,Erik Poppe,"
Biography, Drama, History            ",0.11
762,Kollektivet,2016,6.4,60,5720,111,Thomas Vinterberg,"
Drama            ",0.04
763,Prevenge,2016,5.9,71,5662,88,Alice Lowe,"
Comedy, Drama, Fantasy            ",0.01
764,Teo-neol,2016,6.9,68,5634,126,Seong-hun Kim,"
Action, Drama            ",0.01
765,The Confirmation,2016,6.4,65,5544,101,Bob Nelson,"
Comedy, Drama            ",0.01
766,Here Alone,2016,5.6,59,5541,98,Rod Blackhurst,"
Drama, Horror, Sci-Fi            ",0.01
767,Barry,2016,5.8,72,5463,104,Vikram Gandhi,"
Biography, Drama            ",0.01
768,The Greasy Strangler,2016,5.7,58,5401,93,Jim Hosking,"
Comedy, Horror            ",0.04
769,Rupture,2016,4.8,35,5353,102,Steven Shainberg,"
Horror, Sci-Fi, Thriller            ",0.01
770,Carrie Pilby,2016,6.6,52,5294,98,Susan Johnson,"
Comedy, Drama            ",0.02
771,The Intervention,2016,6.1,57,5271,90,Clea DuVall,"
Comedy, Drama            ",0.03
772,The Secret Scripture,2016,6.7,37,5271,108,Jim Sheridan,"
Drama, Romance            ",0.01
773,Complete Unknown,2016,5.4,58,5260,91,Joshua Marston,"
Drama, Mystery            ",0.17
774,Almost Christmas,2016,6.1,55,5252,111,David E. Talbert,"
Comedy, Drama            ",41.72
775,"Life, Animated",2016,7.5,75,5129,92,Roger Ross Williams,"
Documentary, Comedy, Drama            ",0.24
776,Robinson Crusoe,2016,5.3,36,5124,91,"
Vincent Kesteloot, 
Ben Stassen, 
Mimi Maynard","
Animation, Adventure, Comedy            ",7.97
777,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,2016,6.1,75,5101,118,Joseph Cedar,"
Drama, Thriller            ",3.81
778,Beyond the Gates,2016,5.1,59,4925,84,Jackson Stewart,"
Adventure, Horror            ",0.01
779,Fuocoammare,2016,6.8,87,4916,114,Gianfranco Rosi,"
Documentary            ",0.11
780,Frank & Lola,2016,5.9,56,4854,88,Matthew Ross,"
Crime, Drama, Romance            ",0.01
781,SiREN,2016,5.3,54,4849,82,Gregg Bishop,"
Fantasy, Horror            ",0.01
782,Lavender,2016,5.3,46,4839,92,Ed Gass-Donnelly,"
Drama, Thriller            ",0.01
783,When the Bough Breaks,2016,5.0,28,4833,107,Jon Cassar,"
Crime, Drama, Horror            ",29.7
784,Sameblod,2016,7.3,79,4821,110,Amanda Kernell,"
Drama, History            ",0.01
785,The Bleeder,2016,6.5,68,4787,98,Philippe Falardeau,"
Biography, Drama, Sport            ",0.32
786,Suntan,2016,6.6,59,4782,104,Argyris Papadimitropoulos,"
Drama            ",0.01
787,The Hollow Point,2016,5.4,41,4766,97,Gonzalo López-Gallego,"
Crime, Drama, Thriller            ",0.01
